titulo,url,categoria,fecha
Cuatro ganaderías lanzarán en febrero Leche Madriz  la leche 100% madrileña,https://www.telemadrid.es/programas/buenos-dias-madrid/Cuatro-ganaderias-lanzaran-en-febrero-Leche-Madriz-la-leche-100-madrilena-2-2633756601--20240115085919.html,programas,2024/01/15
Así es un día de preparación de la Bripac,https://www.telemadrid.es/programas/ruta-179/Asi-es-un-dia-de-preparacion-de-la-Bripac-2-2632556765--20240111111700.html,programas,2024/01/11
La OMS advierte de una enfermedad X,https://www.telemadrid.es/salud/La-OMS-advierte-de-una-enfermedad-X-0-2633736653--20240115054705.html,salud,2024/01/15
Una reina de Inglaterra nacida en Alcalá de Henares,https://www.telemadrid.es/noticias/madrid/Una-reina-de-Inglaterra-nacida-en-Alcala-de-Henares-0-2632836732--20240112081200.html,noticias,2024/01/12
Palos y botellas en la pelea entre ultras de Bukaneros y Brigadas Alcalaínas,https://www.telemadrid.es/noticias/madrid/Palos-latas-de-cerveza-botellas-y-cocaina-en-la-pelea-entre-ultras-de-Bukaneros-y-Brigadas-Alcalainas-0-2633736609--20240115105012.html,noticias,2024/01/15
Carmen Machi regresa al teatro con Nuestros actos ocultos en Matadero Madrid,/programas/telenoticias-1/Carmen-Machi-regresa-al-teatro-con-Nuestros-actos-ocultos-en-Matadero-Madrid-2-2633756636--20240115032201.html,programas,2024/01/15
Un paseo por La Mancha en el centro de Madrid,/ocio-y-planes-por-madrid/Un-paseo-por-La-Mancha-en-el-centro-de-Madrid-0-2632236776--20240110080200.html,ocio-y-planes-por-madrid,2024/01/10
Los 10 sitios más instagrameables para hacerse fotos con nieve en Madrid,/ocio-y-planes-por-madrid/Los-10-sitios-mas-instagrameables-para-hacerse-fotos-con-nieve-en-Madrid-0-2632836694--20240112080204.html,ocio-y-planes-por-madrid,2024/01/12
Fin de semana para conocer a la Tía Javiera la de las rosquillas en Fuenlabrada,/ocio-y-planes-por-madrid/Fin-de-semana-para-conocer-a-la-Tia-Javiera-la-de-las-rosquillas-en-Fuenlabrada-0-2632836743--20240112080000.html,ocio-y-planes-por-madrid,2024/01/12
Ciempozuelos celebra este domingo su primera concentración de coches clásicos,/ocio-y-planes-por-madrid/Ciempozuelos-celebra-este-domingo-su-primera-concentracion-de-coches-clasicos-0-2632836747--20240112080000.html,ocio-y-planes-por-madrid,2024/01/12
Fuenlabrada retoma este domingo sus rutas teatralizadas por el casco histórico,/noticias/madrid/Fuenlabrada-retoma-este-domingo-sus-rutas-teatralizadas-por-el-casco-historico-0-2632836772--20240112084826.html,noticias,2024/01/12
Jorge Blass Nuria Espert y el Ballet Nacional de España entre las propuestas del MIRA de Pozuelo de Alarcón,/noticias/madrid/Jorge-Blass-Nuria-Espert-y-el-Ballet-Nacional-de-Espana-entre-las-propuestas-del-MIRA-de-Pozuelo-de-Alarcon-0-2632536778--20240111055841.html,noticias,2024/01/11
Nueva invasión de zombies en Ciempozuelos el 20 de enero,/noticias/madrid/Nueva-invasion-de-zombies-en-Ciempozuelos-el-20-de-enero-0-2632536771--20240111035758.html,noticias,2024/01/11
Las películas candidatas a los Goya en ALCINE de Alcalá,/noticias/madrid/Las-peliculas-candidatas-a-los-Goya-en-ALCINE-de-Alcala-0-2632536767--20240111021954.html,noticias,2024/01/11
7 lugares para disfrutar de la nieve en Madrid,/noticias/madrid/7-lugares-para-disfrutar-de-la-nieve-en-la-Comunidad-de-Madrid-0-2632236785--20240110010956.html,noticias,2024/01/10
Beatbox petanca fotografía y mucho más en el enero cultural de Parla,/noticias/madrid/Beatbox-petanca-fotografia-y-mucho-mas-en-el-enero-cultural-de-Parla-0-2632236780--20240110014635.html,noticias,2024/01/10
Los jueves en Móstoles se pasan en familia,/noticias/madrid/Los-jueves-en-Mostoles-se-pasan-en-familia-0-2632236777--20240110012501.html,noticias,2024/01/10
La Policía Local de Leganés incorpora drones para labores de vigilancia y control,/noticias/madrid/La-Policia-Local-de-Leganes-incorpora-drones-para-labores-de-vigilancia-y-control-0-2633736663--20240115065552.html,noticias,2024/01/15
Comienzan en Getafe las obras para permitir el paso de grandes camiones en un acceso a la A-4,/noticias/madrid/Comienzan-en-Getafe-las-obras-para-permitir-el-paso-de-grandes-camiones-en-un-acceso-a-la-A-4-0-2633736647--20240115063321.html,noticias,2024/01/15
El Hospital de Móstoles celebra este martes su maratón de donación de sangre,/noticias/madrid/El-Hospital-de-Mostoles-celebra-este-martes-su-maraton-de-donacion-de-sangre-0-2633736659--20240115063000.html,noticias,2024/01/15
La Comunidad inicia la comercialización de 434 viviendas en alquiler en Tres Cantos y Sanse,/noticias/madrid/La-Comunidad-inicia-la-comercializacion-de-434-viviendas-en-alquiler-en-Tres-Cantos-y-Sanse-0-2633736652--20240115055545.html,noticias,2024/01/15
Móstoles recupera la Escuela de Abuelos,/noticias/madrid/Mostoles-recupera-la-Escuela-de-Abuelos-para-reforzar-las-relaciones-intergeneracionales-0-2633736651--20240115053657.html,noticias,2024/01/15
San Sebastián de los Reyes estrena un Portal de Empleo para poner en contacto a empresas y trabajadores,/programas/madrid-trabaja/San-Sebastian-de-los-Reyes-estrena-un-Portal-de-Empleo-para-poner-en-contacto-a-empresas-y-trabajadores-9-2633826610--20240115050630.html,programas,2024/01/15
Comienza el derribo del hospital fantasma de Villaviciosa de Odón,/programas/telenoticias-1/Comienza-el-derribo-del-hospital-fantasma-de-Villaviciosa-de-Odon-2-2633756620--20240115030404.html,programas,2024/01/15
Iniciada en Fuenlabrada la instalación de las pantallas acústicas de Cercanías,/noticias/madrid/Iniciada-en-Fuenlabrada-la-instalacion-de-las-pantallas-acusticas-de-Cercanias-0-2633736630--20240115015505.html,noticias,2024/01/15
Getafe entrega 40 nuevas pulseras de localización a niños con TEA,/noticias/madrid/Getafe-entrega-40-nuevas-pulseras-de-localizacion-a-ninos-con-TEA-0-2633736621--20240115121041.html,noticias,2024/01/15
21 municipios madrileños incumplen aún la obligación de implantar zonas de bajas emisiones,/noticias/madrid/21-municipios-madrilenos-incumplen-aun-la-obligacion-de-implantar-zonas-de-bajas-emisiones-0-2633736602--20240115084934.html,noticias,2024/01/15
Alcalá de Henares creará una nueva unidad de Policía Local para mejorar la seguridad en los barrios,/noticias/madrid/Alcala-de-Henares-creara-una-nueva-unidad-de-Policia-Local-para-mejorar-la-seguridad-en-los-barrios-0-2633436640--20240114013008.html,noticias,2024/01/14
Los bomberos extinguen el incendio de una vivienda en Parla sin heridos ni intoxicados,/noticias/madrid/Los-bomberos-extinguen-el-incendio-de-una-vivienda-en-Parla-sin-heridos-ni-intoxicados-0-2633436631--20240114082312.html,noticias,2024/01/14
